mime_type,extensions,description,category
text/plain,"txt,text,log,md",Plain text,Text
text/html,"html,htm,shtml",HTML document,Text
text/css,css,Cascading Style Sheets,Text
text/javascript,"js,mjs,cjs",JavaScript,Text
text/csv,csv,Comma-separated values,Text
text/markdown,"md,markdown",Markdown,Text
text/xml,"xml,xsl,xsd,rss",XML,Text
text/yaml,"yaml,yml",YAML,Text
text/tab-separated-values,tsv,Tab-separated values,Text
application/json,"json,map",JSON,Application
application/pdf,pdf,PDF document,Application
application/zip,zip,ZIP archive,Application
application/gzip,gz,GZip compressed,Application
application/x-tar,tar,Tape Archive,Application
application/x-www-form-urlencoded,N/A,URL-encoded form data,Application
application/octet-stream,"bin,dmg,iso",Generic binary,Application
application/xml,"xml,xsl",XML (application),Application
application/ld+json,jsonld,JSON-LD,Application
application/dns-message,N/A,DNS over HTTPS,Application
application/grpc,N/A,gRPC,Application
application/protobuf,"pb,proto",Protocol Buffers,Application
application/wasm,wasm,WebAssembly,Application
application/x-sh,sh,Shell script,Application
application/x-python,py,Python script,Application
application/typescript,"ts,tsx",TypeScript,Application
application/x-httpd-php,php,PHP script,Application
application/x-java-archive,jar,JAR archive,Application
application/graphql,"graphql,gql",GraphQL,Application
application/openapi+json,N/A,OpenAPI spec,Application
image/jpeg,"jpg,jpeg,jpe",JPEG image,Image
image/png,png,PNG image,Image
image/gif,gif,GIF image,Image
image/webp,webp,WebP image,Image
image/svg+xml,"svg,svgz",SVG vector,Image
image/avif,avif,AVIF image,Image
image/bmp,bmp,BMP image,Image
image/tiff,"tif,tiff",TIFF image,Image
image/x-icon,ico,Icon,Image
image/heic,"heic,heif",HEIC image,Image
audio/mpeg,mp3,MP3 audio,Audio
audio/ogg,"ogg,oga",OGG audio,Audio
audio/wav,wav,WAV audio,Audio
audio/webm,weba,WebM audio,Audio
audio/aac,aac,AAC audio,Audio
audio/flac,flac,FLAC audio,Audio
audio/opus,opus,Opus audio,Audio
audio/midi,"mid,midi",MIDI,Audio
video/mp4,"mp4,m4v",MP4 video,Video
video/webm,webm,WebM video,Video
video/ogg,ogv,OGG video,Video
video/avi,avi,AVI video,Video
video/mkv,mkv,Matroska video,Video
video/quicktime,mov,QuickTime video,Video
video/x-msvideo,avi,AVI video,Video
font/woff,woff,WOFF font,Font
font/woff2,woff2,WOFF2 font,Font
font/ttf,ttf,TrueType font,Font
font/otf,otf,OpenType font,Font
multipart/form-data,N/A,Form data (multipart),Multipart
model/gltf+json,gltf,glTF model,Model
model/gltf-binary,glb,glTF binary,Model
model/obj,obj,OBJ 3D model,Model
